MinTemp,MaxTemp,Rainfall,Evaporation,Sunshine,WindGustSpeed,RainToday,RainTomorrow,Temp_Media,Pressure_Media,WindSpeed_Media,Cloud_Media,Humidity_Media,Season
12.1,25.8,0.0,6.8,11.8,30.0,No,No,20.15,1014.6,10.0,0.0,41.5,Summer
13.9,29.5,0.0,6.4,11.8,28.0,No,No,23.95,1014.35,10.0,0.0,32.0,Summer
15.3,32.3,0.0,6.0,11.3,24.0,No,No,26.05,1013.7,6.5,3.0,27.5,Summer
17.6,33.9,0.0,8.0,11.6,39.0,No,No,28.25,1013.2,6.5,0.5,19.0,Autumn
19.1,34.2,0.0,9.0,11.4,28.0,No,No,27.7,1013.3,10.0,2.0,27.0,Autumn
20.9,34.3,0.0,10.2,7.9,28.0,No,No,27.35,1013.15,13.0,4.0,32.5,Autumn
21.3,35.9,0.0,9.0,10.8,35.0,No,No,29.75,1013.5,12.0,1.5,26.0,Autumn
19.2,37.0,0.0,10.2,11.1,43.0,No,No,30.35,1014.3,17.5,1.0,21.0,Autumn
23.5,36.5,0.0,15.6,7.8,44.0,No,No,30.65,1016.65,19.5,3.5,21.5,Autumn
21.9,36.4,0.0,11.4,6.6,37.0,No,No,30.75,1018.0,11.0,4.5,22.0,Autumn
20.8,31.2,0.2,11.4,10.3,33.0,No,No,26.65,1020.3,12.0,2.0,32.0,Autumn
15.9,31.0,0.0,9.8,11.4,37.0,No,No,25.2,1020.05,13.0,0.5,37.5,Autumn
16.6,31.6,0.0,7.8,11.1,26.0,No,No,25.4,1018.8,10.0,5.5,29.0,Autumn
17.3,31.0,0.0,7.0,11.1,33.0,No,No,24.9,1017.9,13.0,2.0,33.5,Autumn
18.0,30.6,0.0,8.4,11.2,44.0,No,No,24.6,1015.2,17.0,3.5,45.5,Autumn
19.7,31.8,0.0,8.8,11.2,37.0,No,No,25.65,1016.5,19.5,3.0,53.5,Autumn
21.0,32.8,0.0,6.8,10.3,31.0,No,No,27.25,1016.4,14.0,4.0,48.0,Autumn
15.6,24.3,0.2,8.2,11.2,43.0,No,No,19.95,1019.1,14.0,0.0,40.5,Autumn
9.9,24.6,0.0,7.0,11.2,31.0,No,No,20.45,1018.05,13.0,0.0,28.5,Autumn
10.7,23.3,0.0,6.2,11.0,43.0,No,No,19.3,1019.9,16.0,0.0,38.0,Autumn
9.4,25.6,0.0,7.6,11.2,31.0,No,No,19.2,1021.8,13.0,0.0,35.0,Autumn
13.5,28.4,0.0,5.8,9.0,35.0,No,No,24.0,1021.4,17.5,2.0,44.5,Autumn
17.1,28.7,0.0,6.6,5.5,43.0,No,Yes,23.4,1019.05,15.0,7.0,38.5,Autumn
16.5,20.6,14.4,6.0,0.0,30.0,Yes,Yes,18.4,1020.3,8.0,7.0,86.5,Autumn
16.0,24.4,2.4,0.2,4.7,31.0,Yes,Yes,20.8,1021.65,9.5,6.0,78.5,Autumn
16.8,23.9,5.4,2.4,4.2,20.0,Yes,No,20.7,1021.55,5.5,6.0,78.5,Autumn
16.2,23.9,0.0,1.8,4.4,24.0,No,No,20.5,1018.5,7.5,7.0,81.5,Autumn
15.1,24.1,0.4,2.2,6.2,19.0,No,No,20.15,1015.0,4.0,6.5,77.5,Autumn
14.5,28.4,0.0,2.8,11.1,39.0,No,No,24.7,1013.3,18.5,0.5,39.5,Autumn
14.9,29.4,0.0,8.0,9.8,33.0,No,No,23.05,1013.15,14.0,3.5,37.0,Autumn
11.7,23.8,0.0,5.0,11.0,28.0,No,No,20.35,1016.7,12.0,0.0,32.5,Autumn
11.2,23.8,0.0,5.0,11.0,35.0,No,No,20.5,1019.55,11.0,0.0,39.5,Autumn
11.4,25.6,0.0,5.0,10.9,26.0,No,No,21.8,1018.3,8.0,0.0,35.5,Autumn
13.3,24.1,0.0,5.2,11.2,31.0,No,No,20.75,1017.85,14.0,0.5,37.5,Autumn
11.9,24.0,0.0,6.2,10.9,35.0,No,No,20.3,1018.9,16.0,1.0,42.5,Autumn
12.3,24.6,0.0,5.0,9.9,31.0,No,No,20.8,1019.9,15.0,2.5,44.0,Autumn
12.0,25.9,0.0,4.4,11.0,33.0,No,No,21.4,1016.1,14.5,2.0,42.5,Autumn
16.7,24.6,0.0,7.0,4.3,57.0,No,No,21.2,1006.4,15.0,7.0,43.5,Autumn
12.7,23.4,0.6,5.0,10.6,46.0,No,No,19.5,1008.15,18.5,3.0,50.0,Autumn
11.2,18.4,1.0,5.6,9.0,63.0,No,No,14.8,1010.9,20.5,3.5,45.5,Autumn
5.7,19.7,0.0,4.8,10.3,52.0,No,No,15.7,1016.45,13.0,0.5,46.0,Autumn
12.4,19.9,1.0,4.2,8.0,35.0,No,No,16.65,1019.65,18.0,5.0,59.5,Autumn
6.2,17.0,0.0,4.0,9.6,33.0,No,No,13.9,1020.25,7.5,4.5,45.5,Autumn
6.2,19.3,0.0,3.0,7.8,17.0,No,No,16.55,1023.25,4.5,6.0,40.0,Autumn
6.6,20.6,0.0,2.4,10.6,28.0,No,No,17.5,1024.05,11.0,0.5,34.0,Autumn
7.5,22.8,0.0,4.2,10.7,30.0,No,No,18.35,1024.75,13.0,0.5,38.0,Autumn
8.5,23.3,0.0,4.2,10.7,22.0,No,No,19.4,1027.05,10.0,0.5,40.0,Autumn
9.7,23.1,0.0,4.8,10.4,22.0,No,No,19.5,1027.8,10.0,1.5,29.5,Autumn
5.9,23.9,0.0,4.6,10.6,20.0,No,No,19.35,1025.2,9.0,2.0,35.0,Autumn
7.9,23.5,0.0,4.0,10.4,26.0,No,No,18.7,1024.1,9.0,1.0,35.0,Autumn
7.5,21.7,0.0,4.0,10.5,24.0,No,No,16.8,1026.0,11.0,0.0,46.0,Autumn
6.2,22.2,0.0,4.0,10.5,24.0,No,No,17.2,1022.9,7.5,0.0,41.0,Autumn
7.7,23.2,0.0,3.4,10.4,22.0,No,No,18.95,1020.65,7.5,0.0,35.0,Autumn
10.4,23.4,0.0,4.2,9.3,30.0,No,No,19.1,1020.9,13.0,2.0,39.5,Autumn
9.7,23.2,0.0,4.0,8.7,24.0,No,No,18.95,1019.75,11.0,2.0,35.5,Autumn
9.0,21.2,0.0,3.4,10.2,33.0,No,No,17.65,1017.75,11.0,2.5,37.5,Autumn
5.4,20.4,0.0,4.6,10.0,31.0,No,No,16.3,1018.0,10.5,1.5,43.0,Autumn
7.5,21.2,0.0,3.4,10.4,37.0,No,No,17.75,1018.1,14.0,1.0,41.0,Autumn
8.8,20.6,0.0,4.4,7.6,39.0,No,No,17.7,1017.25,17.0,4.0,51.0,Autumn
7.8,19.4,0.0,3.6,6.9,31.0,No,No,15.4,1020.4,12.0,6.5,49.5,Autumn
12.8,14.7,7.6,4.6,0.0,41.0,Yes,Yes,13.8,1017.15,18.5,8.0,93.5,Autumn
12.5,15.6,17.6,0.0,0.0,52.0,Yes,Yes,13.15,1015.5,23.0,8.0,93.5,Autumn
12.7,20.0,7.8,1.4,7.5,52.0,Yes,No,17.45,1017.2,25.0,6.0,56.5,Autumn
10.9,20.8,0.2,2.8,10.1,46.0,No,No,17.6,1016.95,15.5,2.0,56.5,Autumn
12.6,22.9,0.0,4.0,10.2,44.0,No,No,19.6,1016.6,21.5,3.0,59.0,Autumn
13.2,22.9,0.0,4.0,9.9,44.0,No,No,19.75,1020.1,21.5,2.0,57.5,Autumn
13.5,21.5,0.0,4.6,6.3,44.0,No,No,18.1,1020.85,20.5,5.5,58.5,Autumn
13.0,21.3,1.0,3.8,2.8,26.0,No,Yes,16.9,1019.65,7.5,7.0,75.0,Autumn
12.6,16.3,3.6,2.2,0.7,20.0,Yes,No,14.4,1020.15,7.0,7.5,86.0,Autumn
7.2,15.9,0.0,0.8,9.4,24.0,No,No,13.15,1021.8,9.5,2.5,59.0,Autumn
2.4,15.6,0.0,2.4,9.3,28.0,No,No,11.55,1022.75,8.5,3.0,63.5,Autumn
6.8,17.7,0.0,2.2,9.7,37.0,No,No,14.3,1024.6,16.0,2.0,63.0,Autumn
10.7,15.6,0.0,2.6,0.6,43.0,No,Yes,13.2,1026.45,16.0,8.0,69.5,Autumn
11.3,13.0,10.0,1.8,0.0,43.0,Yes,Yes,11.65,1025.15,22.0,8.0,95.0,Autumn
11.1,13.9,12.0,0.0,0.0,30.0,Yes,Yes,13.1,1022.7,14.0,8.0,97.0,Autumn
12.3,17.8,13.6,0.0,5.1,19.0,Yes,No,14.65,1020.85,3.5,6.0,81.5,Autumn
11.6,18.6,0.2,0.6,8.3,26.0,No,No,14.85,1018.75,6.0,5.5,68.5,Autumn
6.9,17.6,0.0,2.2,9.3,15.0,No,No,13.75,1016.95,9.0,3.0,63.0,Autumn
6.9,16.7,0.0,1.6,4.1,28.0,No,Yes,11.7,1012.8,13.0,6.0,82.0,Autumn
6.5,14.5,3.4,1.2,3.9,28.0,Yes,No,12.0,1010.85,15.0,4.5,74.5,Autumn
8.8,15.8,0.0,1.0,8.3,31.0,No,No,12.75,1014.2,19.5,4.5,66.5,Autumn
5.5,14.3,0.8,2.8,6.2,46.0,No,No,10.85,1016.25,18.5,4.0,70.5,Autumn
6.2,11.5,0.0,1.6,10.0,31.0,No,No,10.5,1022.0,17.0,4.0,42.0,Autumn
0.2,12.1,0.0,2.8,9.6,31.0,No,No,8.6,1025.35,7.5,0.5,62.5,Autumn
1.9,12.8,0.0,1.2,6.8,26.0,No,No,9.5,1023.35,9.0,5.0,61.5,Autumn
6.1,18.0,0.0,1.4,7.8,35.0,No,No,12.6,1015.1,16.0,4.0,50.0,Autumn
8.3,19.0,0.2,3.8,8.6,46.0,No,No,14.25,1010.9,17.5,4.0,43.5,Autumn
4.7,14.9,0.0,3.4,2.7,24.0,No,No,11.0,1012.3,11.0,6.5,64.0,Autumn
7.9,17.1,0.6,0.6,8.7,20.0,No,No,13.25,1020.65,9.0,3.5,65.0,Autumn
5.2,17.8,0.0,2.4,8.2,26.0,No,No,14.1,1025.25,12.0,3.0,57.5,Autumn
6.5,17.5,0.0,2.0,9.7,28.0,No,No,13.7,1025.95,12.0,1.5,62.5,Autumn
6.7,17.3,0.0,2.2,8.0,22.0,No,No,13.65,1024.65,11.0,4.0,67.0,Autumn
8.5,18.4,0.0,2.4,7.5,33.0,No,No,15.3,1020.85,17.0,6.5,59.0,Autumn
11.7,20.1,0.0,2.0,3.1,31.0,No,Yes,16.25,1018.1,16.0,6.5,66.5,Winter
9.5,20.9,2.0,1.8,9.9,22.0,Yes,No,16.65,1018.0,7.0,1.0,65.0,Winter
7.4,22.3,0.2,2.2,9.4,33.0,No,No,16.95,1016.95,18.0,5.0,58.0,Winter
6.5,16.7,0.0,3.2,9.8,33.0,No,No,13.85,1015.25,11.0,1.0,43.0,Winter
7.2,16.6,0.0,2.6,1.8,19.0,No,No,12.45,1014.7,5.0,6.5,62.0,Winter
7.8,12.2,0.2,2.2,0.1,28.0,No,Yes,10.45,1008.45,11.5,7.0,88.0,Winter
9.2,14.6,38.8,0.8,0.8,20.0,Yes,Yes,11.65,1006.15,8.5,7.0,95.0,Winter
9.5,16.0,6.4,0.6,3.4,26.0,Yes,No,13.15,1009.65,10.0,6.0,76.0,Winter
7.2,19.8,0.0,1.4,7.1,31.0,No,No,14.4,1013.1,15.0,5.0,67.5,Winter
9.8,20.7,0.0,2.4,3.0,54.0,No,No,16.5,1010.05,20.5,7.0,54.0,Winter
8.7,17.0,0.0,4.0,9.6,39.0,No,No,14.65,1011.7,16.0,0.0,38.5,Winter
4.3,16.5,0.0,3.4,8.7,41.0,No,No,12.65,1014.7,13.5,3.0,54.5,Winter
8.5,14.3,0.0,2.8,5.0,48.0,No,No,11.3,1015.75,22.0,6.0,66.0,Winter
7.1,13.5,0.0,2.6,5.7,33.0,No,No,11.15,1020.75,16.0,6.5,77.5,Winter
8.3,14.7,0.0,2.4,7.4,24.0,No,No,12.3,1020.75,10.0,6.5,67.0,Winter
4.4,12.8,0.0,2.2,6.1,22.0,No,No,9.75,1021.0,6.5,5.5,63.5,Winter
1.7,14.6,0.0,1.0,9.8,20.0,No,No,10.1,1021.1,8.5,1.5,62.5,Winter
5.3,16.6,0.0,2.0,9.6,31.0,No,No,12.9,1024.15,12.0,3.0,62.0,Winter
6.3,17.0,0.0,2.2,10.0,30.0,No,No,13.35,1026.35,15.0,1.0,53.0,Winter
5.6,17.6,0.0,2.4,10.0,30.0,No,No,13.3,1023.15,15.5,2.0,60.0,Winter
8.4,18.4,0.0,2.8,7.0,33.0,No,No,14.4,1017.45,16.0,3.5,53.5,Winter
10.5,19.5,0.2,3.4,2.9,28.0,No,No,14.75,1012.4,8.0,7.5,57.5,Winter
7.7,15.6,0.2,1.2,5.5,28.0,No,No,11.9,1010.65,10.5,7.0,70.5,Winter
6.3,12.0,5.8,2.0,2.5,22.0,Yes,Yes,8.85,1009.1,8.5,7.5,95.0,Winter
1.9,13.7,0.0,1.0,7.1,15.0,No,No,10.1,1022.2,4.0,5.5,67.0,Winter
3.2,15.3,0.0,0.8,8.9,24.0,No,No,11.75,1021.75,6.5,4.0,62.0,Winter
3.7,17.6,0.0,2.2,10.3,24.0,No,No,13.8,1022.7,9.0,0.5,49.5,Winter
8.2,22.7,0.0,3.8,9.1,31.0,No,No,17.25,1017.5,16.0,6.5,43.0,Winter
12.2,17.4,0.0,4.2,1.7,43.0,No,Yes,15.65,1011.1,12.0,7.0,75.5,Winter
5.1,13.0,2.4,1.6,8.1,33.0,Yes,No,10.9,1019.7,15.5,2.0,61.5,Winter
1.2,15.5,0.0,1.6,10.3,20.0,No,No,11.4,1025.85,5.5,0.5,56.5,Winter
3.4,17.1,0.0,1.8,9.5,33.0,No,No,13.1,1023.15,13.0,1.5,53.0,Winter
8.9,12.2,0.8,2.4,1.2,24.0,No,Yes,10.25,1015.8,9.0,7.5,84.0,Winter
4.6,11.4,1.8,0.6,1.4,30.0,Yes,No,8.55,1022.65,10.0,7.5,86.5,Winter
3.6,16.6,0.0,0.8,8.2,26.0,No,No,12.6,1026.05,10.5,4.0,66.0,Winter
5.3,15.1,0.0,2.2,2.9,24.0,No,No,13.1,1027.7,7.5,4.0,64.0,Winter
4.9,15.8,0.0,1.6,5.5,20.0,No,No,12.2,1026.25,7.5,5.0,72.5,Winter
9.3,17.2,0.0,1.4,6.2,26.0,No,No,13.85,1024.6,11.0,6.5,60.5,Winter
4.7,16.3,0.0,2.6,10.1,20.0,No,No,13.4,1027.4,7.5,1.0,60.5,Winter
5.2,17.6,0.0,2.2,10.1,17.0,No,No,14.75,1027.4,4.5,0.0,52.5,Winter
5.9,19.9,0.0,5.0,6.3,20.0,No,No,15.15,1021.8,7.5,3.5,47.5,Winter
8.0,20.5,0.0,2.4,9.9,26.0,No,No,16.6,1020.6,11.0,3.5,40.5,Winter
7.2,19.2,0.0,4.2,10.1,44.0,No,No,16.1,1018.25,21.5,1.0,35.0,Winter
2.3,16.2,0.0,4.2,10.8,24.0,No,No,11.95,1023.3,8.0,0.5,37.5,Winter
1.7,17.6,0.0,3.2,8.8,19.0,No,No,11.95,1018.6,7.5,7.0,40.5,Winter
6.2,21.4,0.0,2.4,9.8,43.0,No,No,15.4,1014.15,10.0,7.0,32.0,Winter
8.4,19.1,0.0,5.4,5.8,44.0,No,No,15.5,1011.9,17.5,1.0,42.0,Winter
7.5,19.3,0.0,4.0,9.8,37.0,No,No,16.6,1013.4,9.5,1.0,37.5,Winter
4.1,19.0,0.0,3.8,7.8,28.0,No,No,15.5,1016.95,7.5,3.5,45.5,Winter
6.5,20.3,0.0,2.4,10.7,17.0,No,No,17.8,1020.35,6.0,0.5,39.0,Winter
7.4,22.8,0.0,3.6,10.6,35.0,No,No,18.1,1018.65,16.0,0.0,33.0,Winter
13.4,28.0,0.0,6.4,2.3,57.0,No,No,22.05,1011.1,24.0,6.5,23.5,Winter
7.8,18.2,0.0,6.0,10.8,37.0,No,No,15.2,1021.5,18.5,0.5,37.5,Winter
5.2,18.8,0.0,3.4,10.7,26.0,No,No,15.9,1027.6,9.0,0.0,30.0,Winter
4.9,21.3,0.0,4.0,9.4,24.0,No,No,16.5,1024.2,7.5,2.5,36.0,Winter
10.0,22.8,0.0,3.4,10.0,22.0,No,No,19.25,1017.55,6.5,3.5,32.5,Winter
10.5,27.6,0.0,4.0,4.4,61.0,No,No,22.15,1007.05,24.0,7.0,26.5,Winter
11.9,19.9,0.4,6.2,2.2,30.0,No,No,16.35,1011.35,14.0,7.5,62.0,Winter
14.1,28.9,0.2,2.2,7.0,37.0,No,No,22.85,1009.1,15.0,6.0,49.0,Winter
15.4,23.2,0.0,4.2,3.9,57.0,No,No,19.85,1008.5,12.5,6.5,59.0,Winter
10.4,17.5,0.0,6.0,9.8,65.0,No,No,14.1,1014.25,16.5,4.0,37.0,Winter
6.2,18.8,0.0,4.2,11.0,22.0,No,No,15.05,1019.9,11.0,0.0,40.5,Winter
5.2,23.3,0.0,3.4,11.1,31.0,No,No,19.0,1017.65,15.0,2.0,24.5,Winter
6.5,23.7,0.0,4.8,5.7,24.0,No,No,19.8,1015.6,12.0,5.0,25.5,Winter
15.4,26.7,0.4,5.2,1.4,48.0,No,No,23.2,1004.9,22.5,7.0,30.0,Winter
9.3,16.3,0.0,7.8,11.3,54.0,No,No,13.0,1018.9,17.5,2.0,36.5,Winter
3.5,18.2,0.0,4.0,10.8,35.0,No,No,14.85,1021.75,7.5,1.0,37.5,Winter
6.6,21.1,0.0,4.8,11.0,22.0,No,No,17.8,1021.95,5.0,1.0,37.5,Winter
7.4,22.9,0.0,3.8,11.2,39.0,No,No,18.9,1020.0,11.0,0.0,30.5,Winter
6.1,19.0,8.0,6.0,11.4,30.0,Yes,No,15.6,1018.45,10.0,0.0,44.0,Winter
6.7,21.7,0.0,3.8,10.6,39.0,No,No,17.45,1014.35,15.0,1.0,35.5,Winter
13.3,21.0,0.0,7.2,8.3,54.0,No,No,17.7,1006.55,25.0,3.5,33.0,Winter
7.9,18.5,0.0,6.2,10.7,41.0,No,No,14.7,1013.3,18.5,3.0,53.5,Winter
4.9,18.6,0.0,4.8,11.3,35.0,No,No,15.1,1015.7,10.5,1.0,42.5,Winter
4.4,19.7,0.0,4.4,11.3,31.0,No,No,16.0,1018.95,7.5,0.0,36.0,Winter
6.5,26.0,0.0,4.6,11.3,37.0,No,No,21.35,1020.7,14.0,0.0,22.5,Winter
12.0,30.1,0.0,7.6,11.2,44.0,No,No,25.45,1020.35,21.0,0.0,12.0,Winter
14.5,32.7,0.0,10.8,11.0,46.0,No,No,27.55,1017.3,19.5,0.0,12.0,Winter
13.8,24.6,0.0,10.0,10.9,33.0,No,No,20.2,1019.85,13.0,0.0,27.5,Winter
8.1,24.2,0.0,6.4,10.6,24.0,No,No,20.95,1018.9,11.0,4.0,15.5,Winter
7.1,28.2,0.0,5.2,11.5,26.0,No,No,23.15,1017.55,12.0,0.0,13.0,Winter
15.7,31.3,0.0,6.2,3.5,50.0,No,Yes,25.3,1013.65,17.5,6.5,23.0,Winter
10.9,22.9,7.0,5.2,9.9,24.0,Yes,No,18.55,1020.75,9.0,2.0,56.0,Winter
9.6,26.6,0.0,4.0,10.9,31.0,No,No,22.9,1017.1,8.5,2.0,36.5,Winter
14.4,29.2,0.0,6.0,9.2,59.0,No,No,24.45,1013.9,13.0,6.5,34.5,Winter
14.8,21.5,0.6,6.8,0.6,44.0,No,No,17.85,1010.85,17.5,7.5,72.5,Winter
15.1,29.6,1.0,2.2,3.1,83.0,No,No,23.45,1001.1,18.5,7.0,54.0,Winter
9.6,18.7,0.4,9.2,1.9,74.0,No,No,14.55,1009.75,28.0,6.5,61.5,Spring
